keys,en,ru
game_over_title,GAME OVER,ИГРА ОКОНЧЕНА
score_label,Score,Счёт
restart_btn,Restart,Начать заново
continue_btn,Continue,Продолжить
continue_ad_note,by watching an ad,за просмотр рекламы
play_btn,Play,Играть
menu_title,Lumen Cascade,Lumen Cascade
pause_title,Paused,Пауза
resume_btn,Resume,Продолжить
pilot_name,Pilot: %s,Пилот: %s
auth_btn,Log in,Войти
auth_benefits,"Cloud save, leaderboard","Сохранить прогресс в облаке, таблица лидеров"
auth_confirm_title,Log in to account,Войти в аккаунт
auth_confirm_ok,Confirm,Подтвердить
auth_cancel,Cancel,Отмена
auth_optional,"You can play without signing in","Можно играть без входа"
logout_btn,Log out,Выйти из аккаунта
auth_failed_msg,Authorization error,Ошибка авторизации
